make,model
Aerotek,ZUNI
De Havilland,DHC-3
Schweizer,300C
Schweizer,SC2-33A
Let,L-23 SUPER BLANIK
B??lkow,PHOEBUS C
Purdy,HP-18
"Miller, Terry W.",TERN
Aerostar,S-77A
Schweizer,S-2-33A
Schweizer,SGS 126B
Slingsby,T-51
Reed,RS15
Kolb Company,FIRESTAR
Rolladen-schneider,LS-3-17
Fantasy Sky Promotions,FANTASY 6
Aerostar,S-81-A
Schempp-hirth,CIRRUS-B
General Balloon,NEWPORT AX8
Schweizer,233A
Elan Glaser Dirks,DG-300 ELAN
Schleicher,KA-8B
Eiriavion Oy,PIK 20B
Schweizer,SGU-2-22K
Aerostar,S60A
Aerostar,RAVEN S49A
Burkhart Grob,G-102CS
Glasflugel,MOSQUITO
Laister,LP-15
Balloon Works,FIREFLY 7-15
Aerostar,RX-8
Burkhart Grob,G102
Thunder And Colt,180A
Schweizer,SGS1-34
Cameron,A-210
Lithuanian Factory Of Aviation,LAK-12
As+ Ltd.,AC 4
Schweizer,1-24
Schweizer,SGS233A
Schweizer,SGS 2-33AK
Wsk Pzl-krosno,KR-03A
Burkhart Grob,G103C TWIN III ACRO
Raven,RALLEY RX7
Schleicher,KA6-CR
Schleicher,ASK-13
Cameron,O-65
Pzl-bielsko,SZD-59
Let,SUPER BLANIK L-23
Schempp-hirth,CIRRUS-S
Thunder And Colt,COLT 240A
Let,L23
Boeing,727F
Schweizer,SGS-233A
Aerostar,RX7
Burkhart Grob,G-103-TWIN II
Glaser-dirks,DG-300
Cameron,N-77
Marsh-turner,BG-12A
Airbus Industrie,A300B4-605R
Centrair,101C
Schweizer,SGS 135
Schempp-hirth,NIMBUS 3/24.5
Reiffer,RS-15
Schempp-hirth,VENTUS-2B
Slingsby Aviation Plc,T65A
Schweizer,SGS 2-8
Schempp-hirth,DUO DISCUS
Centrair,ASW20F
Briegleb,BG-12A
Avian,MAGNUM IX
Aerostar,S-55A
Laister,LP-49
Schleicher,ASW19-B
Reynolds,MARSKE-MONARCH 1997
As+ Ltd,AC-4B
Balloon Works,FIREFLY 11
Cameron,N-90
Schweizer,FGS-233
Schweizer,SGS1-26A
Schweizer,126-D
Piper,PA-28-161
Cameron,R-420
Pzl-bielsko,SZD-48-3
Balloon Works,FIREFLY 8B-15
Schleicher,ASW-19B
Masak,SCIMITAR
Schweizer,SGS-1-35
As+ Ltd,AC-4
Rolladen-schneider,LS-6A
Mbb,PHOEBUS C
Rolladen-schneider,LS 4A
Pzl-bielsko,SZD 50-3
Schweizer,SGU 2-22E
Glasflugel,H 301 B LIBELLE
Nicks,PW-5
Burkhart Grob,G 103C
Cameron,A-250
Thunder And Colt,AX8-90 S 2
Piper,PA-32RT
Taylorcraft,BC12-D
Burkhart Grob,G103-TWINA
Boeing,767-300ER
Piper,PA-31-350
Schleicher,ASW27
Balloon Works,AX-8
Aerostar,RX-9
Schempp-hirth,MINI-NIMBUS
Burkhart Grob,G-103 TWIN II
Aerostar,RALLY RX-8
Boyd Dan,MONO-WHEEL; EURO
Aero Commander,500
Ab Sportine Aviacija,GENESIS 2
Aerostar,RALLY RX-7
Adams,A55S
Piper,PA-22-150
Pilatus,B-4
Cessna,150F
Rockwell,S-2R
Balloon Works,FIREFLY 9
Let,L-33-SOLO
Burkhart Grob,103C
